,hour,minute,price,time
47,6,34,111.75,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=34, tm_sec=0, tm_wday=0, tm_yday=54, tm_isdst=0)"
48,6,34,111.78,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=34, tm_sec=5, tm_wday=0, tm_yday=54, tm_isdst=0)"
49,6,34,111.84,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=34, tm_sec=10, tm_wday=0, tm_yday=54, tm_isdst=0)"
50,6,34,111.84,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=34, tm_sec=15, tm_wday=0, tm_yday=54, tm_isdst=0)"
51,6,34,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=34, tm_sec=25, tm_wday=0, tm_yday=54, tm_isdst=0)"
52,6,34,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=34, tm_sec=30, tm_wday=0, tm_yday=54, tm_isdst=0)"
53,6,34,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=34, tm_sec=35, tm_wday=0, tm_yday=54, tm_isdst=0)"
54,6,34,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=34, tm_sec=40, tm_wday=0, tm_yday=54, tm_isdst=0)"
55,6,34,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=34, tm_sec=45, tm_wday=0, tm_yday=54, tm_isdst=0)"
56,6,34,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=34, tm_sec=50, tm_wday=0, tm_yday=54, tm_isdst=0)"
57,6,34,111.81,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=34, tm_sec=55, tm_wday=0, tm_yday=54, tm_isdst=0)"
58,6,35,111.81,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=0, tm_wday=0, tm_yday=54, tm_isdst=0)"
59,6,35,111.81,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=5, tm_wday=0, tm_yday=54, tm_isdst=0)"
60,6,35,111.58,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=10, tm_wday=0, tm_yday=54, tm_isdst=0)"
61,6,35,111.53,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=15, tm_wday=0, tm_yday=54, tm_isdst=0)"
62,6,35,111.53,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=20, tm_wday=0, tm_yday=54, tm_isdst=0)"
63,6,35,111.53,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=25, tm_wday=0, tm_yday=54, tm_isdst=0)"
64,6,35,111.53,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=30, tm_wday=0, tm_yday=54, tm_isdst=0)"
65,6,35,111.53,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=35, tm_wday=0, tm_yday=54, tm_isdst=0)"
66,6,35,111.53,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=40, tm_wday=0, tm_yday=54, tm_isdst=0)"
67,6,35,111.58,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=45, tm_wday=0, tm_yday=54, tm_isdst=0)"
68,6,35,111.58,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=50, tm_wday=0, tm_yday=54, tm_isdst=0)"
69,6,35,111.58,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=35, tm_sec=55, tm_wday=0, tm_yday=54, tm_isdst=0)"
70,6,36,111.58,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=0, tm_wday=0, tm_yday=54, tm_isdst=0)"
71,6,36,111.58,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=5, tm_wday=0, tm_yday=54, tm_isdst=0)"
72,6,36,111.57,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=10, tm_wday=0, tm_yday=54, tm_isdst=0)"
73,6,36,111.57,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=15, tm_wday=0, tm_yday=54, tm_isdst=0)"
74,6,36,111.57,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=20, tm_wday=0, tm_yday=54, tm_isdst=0)"
75,6,36,111.57,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=25, tm_wday=0, tm_yday=54, tm_isdst=0)"
76,6,36,111.57,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=30, tm_wday=0, tm_yday=54, tm_isdst=0)"
77,6,36,111.57,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=35, tm_wday=0, tm_yday=54, tm_isdst=0)"
78,6,36,111.57,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=40, tm_wday=0, tm_yday=54, tm_isdst=0)"
79,6,36,111.57,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=45, tm_wday=0, tm_yday=54, tm_isdst=0)"
80,6,36,111.56,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=50, tm_wday=0, tm_yday=54, tm_isdst=0)"
81,6,36,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=36, tm_sec=55, tm_wday=0, tm_yday=54, tm_isdst=0)"
82,6,37,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=37, tm_sec=0, tm_wday=0, tm_yday=54, tm_isdst=0)"
83,6,37,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=37, tm_sec=5, tm_wday=0, tm_yday=54, tm_isdst=0)"
84,6,37,NASDAQ,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=37, tm_sec=10, tm_wday=0, tm_yday=54, tm_isdst=0)"
85,6,37,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=37, tm_sec=15, tm_wday=0, tm_yday=54, tm_isdst=0)"
86,6,37,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=37, tm_sec=20, tm_wday=0, tm_yday=54, tm_isdst=0)"
87,6,37,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=37, tm_sec=30, tm_wday=0, tm_yday=54, tm_isdst=0)"
88,6,37,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=37, tm_sec=35, tm_wday=0, tm_yday=54, tm_isdst=0)"
89,6,37,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=37, tm_sec=45, tm_wday=0, tm_yday=54, tm_isdst=0)"
90,6,37,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=37, tm_sec=50, tm_wday=0, tm_yday=54, tm_isdst=0)"
91,6,37,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=37, tm_sec=55, tm_wday=0, tm_yday=54, tm_isdst=0)"
92,6,38,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=0, tm_wday=0, tm_yday=54, tm_isdst=0)"
93,6,38,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=5, tm_wday=0, tm_yday=54, tm_isdst=0)"
94,6,38,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=10, tm_wday=0, tm_yday=54, tm_isdst=0)"
95,6,38,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=15, tm_wday=0, tm_yday=54, tm_isdst=0)"
96,6,38,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=20, tm_wday=0, tm_yday=54, tm_isdst=0)"
97,6,38,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=25, tm_wday=0, tm_yday=54, tm_isdst=0)"
98,6,38,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=30, tm_wday=0, tm_yday=54, tm_isdst=0)"
99,6,38,111.77,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=35, tm_wday=0, tm_yday=54, tm_isdst=0)"
100,6,38,111.79,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=40, tm_wday=0, tm_yday=54, tm_isdst=0)"
101,6,38,111.79,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=45, tm_wday=0, tm_yday=54, tm_isdst=0)"
102,6,38,111.79,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=50, tm_wday=0, tm_yday=54, tm_isdst=0)"
103,6,38,111.79,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=38, tm_sec=55, tm_wday=0, tm_yday=54, tm_isdst=0)"
104,6,39,111.56,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=39, tm_sec=0, tm_wday=0, tm_yday=54, tm_isdst=0)"
105,6,39,111.56,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=39, tm_sec=5, tm_wday=0, tm_yday=54, tm_isdst=0)"
106,6,39,111.56,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=39, tm_sec=10, tm_wday=0, tm_yday=54, tm_isdst=0)"
107,6,39,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=39, tm_sec=15, tm_wday=0, tm_yday=54, tm_isdst=0)"
108,6,39,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=39, tm_sec=20, tm_wday=0, tm_yday=54, tm_isdst=0)"
109,6,39,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=39, tm_sec=25, tm_wday=0, tm_yday=54, tm_isdst=0)"
110,6,39,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=39, tm_sec=30, tm_wday=0, tm_yday=54, tm_isdst=0)"
111,6,39,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=39, tm_sec=35, tm_wday=0, tm_yday=54, tm_isdst=0)"
112,6,39,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=39, tm_sec=40, tm_wday=0, tm_yday=54, tm_isdst=0)"
113,6,39,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=39, tm_sec=45, tm_wday=0, tm_yday=54, tm_isdst=0)"
114,6,39,111.82,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=39, tm_sec=50, tm_wday=0, tm_yday=54, tm_isdst=0)"
115,6,40,111.68,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=40, tm_sec=0, tm_wday=0, tm_yday=54, tm_isdst=0)"
116,6,40,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=40, tm_sec=5, tm_wday=0, tm_yday=54, tm_isdst=0)"
117,6,40,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=40, tm_sec=15, tm_wday=0, tm_yday=54, tm_isdst=0)"
118,6,40,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=40, tm_sec=20, tm_wday=0, tm_yday=54, tm_isdst=0)"
119,6,40,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=40, tm_sec=25, tm_wday=0, tm_yday=54, tm_isdst=0)"
120,6,40,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=40, tm_sec=30, tm_wday=0, tm_yday=54, tm_isdst=0)"
121,6,40,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=40, tm_sec=35, tm_wday=0, tm_yday=54, tm_isdst=0)"
122,6,40,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=40, tm_sec=40, tm_wday=0, tm_yday=54, tm_isdst=0)"
123,6,40,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=40, tm_sec=45, tm_wday=0, tm_yday=54, tm_isdst=0)"
124,6,40,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=40, tm_sec=50, tm_wday=0, tm_yday=54, tm_isdst=0)"
125,6,40,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=40, tm_sec=55, tm_wday=0, tm_yday=54, tm_isdst=0)"
126,6,41,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=0, tm_wday=0, tm_yday=54, tm_isdst=0)"
127,6,41,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=5, tm_wday=0, tm_yday=54, tm_isdst=0)"
128,6,41,111.76,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=10, tm_wday=0, tm_yday=54, tm_isdst=0)"
129,6,41,111.43,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=15, tm_wday=0, tm_yday=54, tm_isdst=0)"
130,6,41,111.38,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=20, tm_wday=0, tm_yday=54, tm_isdst=0)"
131,6,41,111.37,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=25, tm_wday=0, tm_yday=54, tm_isdst=0)"
132,6,41,111.37,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=30, tm_wday=0, tm_yday=54, tm_isdst=0)"
133,6,41,111.37,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=35, tm_wday=0, tm_yday=54, tm_isdst=0)"
134,6,41,111.37,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=40, tm_wday=0, tm_yday=54, tm_isdst=0)"
135,6,41,111.23,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=45, tm_wday=0, tm_yday=54, tm_isdst=0)"
